木材,Wooden Planks,建材にするも良し、棒に加工して道具を作るも良し、燃料にするも良しの三拍子揃った便利ブロック。近くに溶岩があると燃えるので建築時に注意。
棒,Sticks,松明、剣、斧等の材料。
松明,Torches,夜が来る前に早く松明を設置する作業に戻るんだ！！
作業台,Workbench,全てはここから。
かまど,Furnace,鉱物を精錬するために必要。精錬時は周囲が明るくなる。お肉も上手に焼けます。上手に焼けた時にファンファーレは鳴らない。
木箱,Chest,アイテムを格納できる。２つ並べて設置すると２倍の容量になる。上にブロックを置くと蓋が開かなくなるので注意
ベッド,Bed,夜が怖いならすぐ寝よう。近くにMobがいると使用できない。
鉄ブロック,Iron Block,鉄ブロック、 大量に格納するのに便利だが、建材に使用するのも有り。
金ブロック,Gold Block,金ブロック、大量に格納するのに便利だが、建材に使用するのも有り。
ダイヤモンドブロック,Diamond Block,ダイヤモンドブロック、 大量に格納するのに便利だが、建材に使用するのも有り。
ラピスラズリブロック,Lapis Lazuli Block,ラピスラズリブロック、 大量に格納するのに便利だが、建材に使用するのも有り。
グロウストーン,Glowstone,グロウストーン、周囲を明るく照らす。街灯や部屋のインテリアにどうぞ。
羊毛,Wool,ベットの素材、建材にも使用出来るが火気厳禁。羊からも採取できる。
色付き羊毛,Colored Wool,各種染料で着色された羽毛、羊に直接染料を使用し採取することで大量生産できる。
TNT,TNT,整地に使うも良し採掘に使うこともできる。火薬はクリーパーを倒すことで手に入る。起爆には火打ち石が必要
ハーフブロック,Slabs,木材・丸石・砂岩・石・石レンガ・レンガブロックなどの種類がある。通常ブロックの半分の厚さ。ハーフブロックの上ではモンスターが沸かないので様々な使い道がある。
階段,Stairs,木材・丸石・石レンガ・レンガ・ネザーレンガブロックなどの種類がある。
雪ブロック,Snow Block,雪玉の保存、建材に使える。
粘土ブロック,Clay Block,粘土の保存、建材に使える。
レンガブロック,Brick Block,建材に使える。
石レンガ,StoneBrick,建材に使える。
砂岩,Sandstone,建材に使える。
本棚,Bookshelf,建材に使える。強力なエンチャントを使うために必要。　書斎、古代図書館を作るのもいいかもしれない。
ジャック･オ･ランタン,Jack-O-Lantern,グロウストーンと同じように周囲を明るく照らす。街灯や部屋のインテリアにどうぞ。
スイカ,MelonBlock,誤ってスイカを割ってしまった時に元に戻せる。
斧,Axes,木材・丸石・鉄・金・ダイヤモンドなどの種類がある。素材によって耐久度や破壊スピードが違う。
ツルハシ,Pickaxes,木材・丸石・鉄・金・ダイヤモンドなどの種類がある。素材によって耐久度や破壊スピードが違う。鉄鉱石は丸石以上、ダイヤモンドは鉄以上のツルハシが必要。
シャベル,Shovels,木材・丸石・鉄・金・ダイヤモンドなどの種類がある。素材によって耐久度や破壊スピードが違う。
剣,Swords,木材・丸石・鉄・金・ダイヤモンドなどの種類がある。素材によって耐久度や攻撃力が違う。
クワ,Hoes,木材・丸石・鉄・金・ダイヤモンドなどの種類がある。素材によって耐久度が違う。
弓,Bow,矢を放つことができる。糸は蜘蛛がドロップする。
矢,Arrows,地道に作るのも有りだが、スケルトンがドロップするのでトラップタワーを作ったほうが幸せになれるかも・・
火打石と打ち金,Flint and Steel,着火することが出来る。ネザーゲートを作るのに必要。
バケツ,Bucket,水・溶岩・牛乳を持ち運ぶ事ができる。万能バケツ。
コンパス,Compass,リスポーン地点を指す。遠出するのには必須。
時計,Clock,これがあればもう空を確認することなく時間を知ることが出来る。
釣り竿,Fishing Rod,これであなたも釣り師。
地図,Maps,マップ、マップを所持した状態で歩くと地形が記録される。
ハサミ,Shears,羊から羊毛を採取出来る。
ファイヤーチャージ,Fire Charge,火打石の代わりになる
ヘルメット,Helmet,革・鉄・金・ダイヤモンドなどの種類がある。素材によって防御力が違う。
チェストプレート,Chestplate,革・鉄・金・ダイヤモンドなどの種類がある。素材によって防御力が違う。
